video_id	side	t_sec	game_idx	frame_idx	chain_count_off	chain_count_on	total_erased_off	total_erased_on	total_ojama_off	total_ojama_on
c109	2P	3299.93	37	197996	1	0	4	0	0	0
c109	1P	3401.93	39	204116	1	0	4	0	1	0
c109	1P	3402.80	39	204168	2	0	8	0	1	0
c109	1P	3404.60	39	204276	6	6	35	31	1	1
c109	2P	8151.60	68	489096	1	0	4	0	0	0
c109	2P	8152.03	68	489122	1	0	4	0	0	0
c109	1P	8170.70	68	490242	1	0	4	0	0	0
c109	1P	8172.97	68	490378	1	0	4	0	0	0
c109	1P	8174.57	68	490474	1	0	4	0	0	0
c109	1P	8176.13	68	490568	1	1	5	4	0	0
c109	1P	8784.00	78	527040	2	2	13	12	2	2
c11	1P	595.57	8	35734	1	1	5	4	0	0
c11	1P	597.17	8	35830	1	1	6	5	0	0
c11	2P	1138.50	17	68310	1	0	4	0	0	0
c11	2P	1476.17	22	88570	1	0	4	0	0	0
c11	1P	1676.53	25	100592	1	0	4	0	1	0
c11	1P	1677.37	25	100642	1	0	4	0	1	0
c11	1P	1678.23	25	100694	1	0	4	0	2	0
c11	1P	1678.50	25	100710	1	0	4	0	2	0
c11	1P	1678.83	25	100730	1	0	4	0	2	0
c11	1P	2103.00	31	126180	1	0	4	0	0	0
c11	1P	2103.90	31	126234	1	0	4	0	0	0
c11	1P	2105.30	31	126318	1	0	4	0	1	0
c110	2P	453.27	9	27196	1	1	6	5	0	0
c110	1P	594.90	11	35694	1	1	5	4	6	6
c110	2P	1003.80	17	60228	2	2	10	9	2	2
c110	2P	3237.43	51	194246	1	0	4	0	2	0
c110	2P	3237.70	51	194262	1	0	4	0	2	0
c110	2P	3238.03	51	194282	1	0	4	0	2	0
c110	2P	3238.27	51	194296	1	0	4	0	2	0
c110	2P	3239.17	51	194350	1	0	4	0	2	0
c110	2P	3239.70	51	194382	1	0	4	0	2	0
c110	2P	3240.33	51	194420	1	0	4	0	2	0
c110	2P	3240.47	51	194428	1	0	4	0	2	0
c110	2P	3240.70	51	194442	1	0	4	0	2	0
c110	2P	3241.33	51	194480	1	0	4	0	5	0
c110	2P	3241.60	51	194496	1	0	4	0	2	0
c111	2P	1014.43	12	60866	1	0	4	0	0	0
c111	1P	1113.70	13	66822	6	6	36	35	0	0
c111	2P	1244.37	15	74662	1	1	5	4	0	0
c111	2P	1244.67	15	74680	1	1	5	4	0	0
c111	2P	1245.10	15	74706	1	1	5	4	0	0
c111	2P	2247.03	28	134822	1	1	5	4	0	0
c111	2P	2249.93	28	134996	1	0	4	0	0	0
