video_c132	_qJod5PzH3s	【A級・3ブロック】とりぱん vs ぶーけ 30先(解説：椎野)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
video_c133	jVsu05HNgFo	【A級・7ブロック】teva vs ユニ 30先(解説：ライカ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
video_c134	6ViO4xH70gQ	【A級・9ブロック】えぬむら vs akinari 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
video_c135	DWllSSML7YY	【A級・9ブロック】なおこれ vs akinari  30先(解説：DIO)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
video_c136	hqpoHjN4Lx0	【A級・9ブロック】いさな vs もんぬ 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
video_c137	56l3ooNJfs8	【A級・3ブロック】ぶーけ vs れたす 30先(解説：なしー)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
video_c138	Z-VMWHmxeao	【A級・6ブロック】スラさん vs にゃんきち 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
video_c139	Dgla5UVL1DY	【A級・4ブロック】RIC vs ねも 30先(解説：reoru)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
video_c140	Be0HyETJ47w	【A級・8ブロック】light vs MATTYAN 30先(解説：なしー)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
video_c141	R7vU1wQ4BxI	【A級・6ブロック】No_name vs るた 30先(解説：なしー)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
video_c142	7J1VkyPLsi8	【A級・9ブロック】えぬむら vs もんぬ 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
video_c143	Lz1nXzQh9pc	【A級・2ブロック】ferro vs ゆうりん 30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
video_c144	mlXw2lyptuE	【A級・8ブロック】light vs Neese 30先(解説：reoru)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
