video_name	video_id	duration_sec	title	tier	source_file	on_disk
video_c63	uvHXyP5V4-8		【マスター・3ブロック】あん vs スラさん 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/_dl_expand.tsv	1
video_c64	h1GpiHbFgR4		【マスター・4ブロック】Ponderion vs syakegohan 30先(解説：delta)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/_dl_expand.tsv	1
video_c65	1QoAmAQsROs		【マスター・2ブロック】MGR vs ゆが 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/_dl_expand.tsv	1
video_c66	cYiFD-jlFBc		【マスター・3ブロック】SAKI vs ぷにちゃん 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/_dl_expand.tsv	1
video_c67	lGFYrIe65ps		【マスター・2ブロック】MGR vs TS 30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/_dl_expand.tsv	1
video_c68	DBfHe3dA244		【マスター・1ブロック】selva vs レイン 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/_dl_expand.tsv	1
video_c69	-mCImzUDQkQ		【マスター・4ブロック】reoru vs むー 30先(解説：ようかん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/_dl_expand.tsv	1
video_c7	Aqa3k4-lU7k	3661.0	【チャレンジャー・Aブロック】ゆがるむ vs かき 30先【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	チャレンジャー	data/pl_new_missing.tsv	1
video_c70	z_HaEPhxdVU		【マスター・2ブロック】:o vs ゆが 30先(解説：ライカ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/_dl_expand.tsv	1
video_c71	lcMK9XEFx5o		【マスター・3ブロック】light vs ぷにちゃん 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/_dl_expand.tsv	1
video_c72	CoZ-kfMhF88		【マスター・1ブロック】selva vs sym 30先(解説：なしー)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/_dl_expand.tsv	1
video_c73	HSy0Kj8HNoI		【マスター・2ブロック】3 vs MGR 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/_dl_expand.tsv	1
video_c74	QCx3EPE8yEA		【マスター・1ブロック】sym vs とりぱん 30先(解説：なしー)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/_dl_expand.tsv	1
video_c75	mkvVJmt309A		【マスター・2ブロック】MGR vs いさな 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/_dl_expand.tsv	1
video_c76	H9uHCNGqBqk		【マスター・3ブロック】あん vs ぷにちゃん 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/_dl_expand.tsv	1
video_c77	dWchqPaeEc4		【マスター・1ブロック】とりぱん vs レイン 30先(解説：Shiyota)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/_dl_expand.tsv	1
video_c78	IrCNnxwWa1o		【マスター・4ブロック】reoru vs syakegohan 30先(解説：ヨダソウマ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/_dl_expand.tsv	1
video_c79	Hl2QlK8dAwo		【マスター・2ブロック】3 vs ゆが 30先(解説：DIO)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/_dl_expand.tsv	1
video_c8	6C0koGRlXu0	3949.0	【チャレンジャー・Aブロック】delta vs かき 30先【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	チャレンジャー	data/pl_new_missing.tsv	1
video_c80	6asLcTglLQI		【マスター・2ブロック】:o vs 3 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/_dl_expand.tsv	1
video_c81	UsMva_S3LAQ		【マスター・1ブロック】とりいぬ vs レイン 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/_dl_expand.tsv	1
video_c82	04Lb9BZCpP0		【S級決定戦】レイン vs ゆうき 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	S級	data/_dl_expand.tsv	1
video_c83	UpnGj22itdA		【S級決定戦】ゆが vs レイン 30先(解説：ヨダソウマ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	S級	data/_dl_expand.tsv	1
video_c84	GDfVPnyrfwU		【S級決定戦】ゆが vs ゆうき 30先(解説：Shiyota)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	S級	data/_dl_expand.tsv	1
video_c85	2t7OJrYSQgA		【A・B1級複合決勝トーナメント決勝】jig vs いつき  30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	その他大会系	data/_dl_expand.tsv	1
video_c86	L7Xy-sAFWHI		【B2・C1級複合決勝トーナメント決勝】くろy vs nuirapa  30先(解説：ぴぽにあ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	その他大会系	data/_dl_expand.tsv	1
video_c87	UE-_a6Sk2WE		【A・B1級複合決勝トーナメント準決勝】いつき vs DIO  30先(解説：さがわ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	その他大会系	data/_dl_expand.tsv	1
video_c88	GmkzmcYgOWI		【A・B1級複合決勝トーナメント準決勝】ばたし vs jig  30先(解説：ライカ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	その他大会系	data/_dl_expand.tsv	1
video_c89	tIBqoRoEgZA		【B1・B2級複合決勝トーナメント】むるむる vs 翔太  30先(解説：さがわ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	その他大会系	data/_dl_expand.tsv	1
video_c9	mtNoLwHSg1A	3609.0	【チャレンジャー・Bブロック】SAKI vs ぬえ 30先【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	チャレンジャー	data/pl_new_missing.tsv	1
