video_idx	playlist	playlist_idx	video_id	duration	title
81	plC	41	DBfHe3dA244	3141	【マスター・1ブロック】selva vs レイン 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
80	plC	40	lGFYrIe65ps	3542	【マスター・2ブロック】MGR vs TS 30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
78	plC	38	1QoAmAQsROs	3657	【マスター・2ブロック】MGR vs ゆが 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
86	plC	46	HSy0Kj8HNoI	3603	【マスター・2ブロック】3 vs MGR 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
84	plC	44	lcMK9XEFx5o	3385	【マスター・3ブロック】light vs ぷにちゃん 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
89	plC	49	H9uHCNGqBqk	3849	【マスター・3ブロック】あん vs ぷにちゃん 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
92	plC	52	Hl2QlK8dAwo	3685	【マスター・2ブロック】3 vs ゆが 30先(解説：DIO)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
90	plC	50	dWchqPaeEc4	3182	【マスター・1ブロック】とりぱん vs レイン 30先(解説：Shiyota)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
93	plC	53	6asLcTglLQI	3565	【マスター・2ブロック】:o vs 3 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
94	plC	54	UsMva_S3LAQ	3353	【マスター・1ブロック】とりいぬ vs レイン 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
91	plC	51	IrCNnxwWa1o	3131	【マスター・4ブロック】reoru vs syakegohan 30先(解説：ヨダソウマ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
95	plC	7	al2ayeqbxyI	2368	【マスター・2ブロック】TS vs ゆが 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
