config	n_features	overall_auc	flat_auc	early_auc	mid_auc	late_auc	perm_imp_progress	perm_imp_earliness
1_base	27	0.660482482831613	0.55538567090349	0.5772773679385961	0.665357002867884	0.7264242556280716		
2_progress_only	28	0.6656108550569664	0.5564244187449019	0.5783222634790347	0.6672656756311218	0.7370397443973701	0.017205859709042128	
3_earliness_only	28	0.6652040013268985	0.5573438993156272	0.5780015290061669	0.6688646007576691	0.7345673344930481		0.018348472153778377
4_both	29	0.6687596418100155	0.5589654562577258	0.5798890210967376	0.6686617455196868	0.7427949148450385	0.016252344211966585	0.011216256094412107
