手法,ECE全体,ECE序盤,ECE中盤,ECE終盤,Brier,AUC(プール),AUC(位相内min),AUC(位相内max)
校正なし(raw、B-1+B-2後のtier1),0.012495198198832675,0.018396136243028435,0.01017145108578533,0.010362599832933509,0.21930182882788551,0.6687596418100155,0.5823511545398885,0.7180486837631409
現行Platt(本番approx適用、旧モデル学習),0.013820109272304966,0.01734835530224181,0.011905644034545602,0.017162286869495415,0.21951181752378635,0.6687596418100155,0.5823511545398885,0.7180486837631409
Platt(全位相共通、tier1で再学習),0.02068041842020601,0.03404628921235315,0.01487978349570039,0.014856106178006357,0.220001927964785,0.6632001224229834,0.5731118118931746,0.7135626461697104
Isotonic(全位相共通、tier1で再学習),0.014595264580688886,0.02247120634254977,0.015371021156979428,0.01806283615214089,0.21988000781491737,0.6618029182989869,0.5701144349981174,0.7126172739246233
Platt(位相別),0.02359206111749417,0.03744179744362215,0.016500754896166335,0.019720672435117985,0.22000268782057247,0.6622195868059241,0.5747947257642351,0.7119176484691732
Isotonic(位相別),0.01319329635849003,0.006287809875533521,0.016732372135518127,0.022458361232286148,0.22009344738297057,0.6590624686456916,0.5653132092861335,0.7110621147339069
