match_id	n_pairs
video_c34::21	42
video_c34::22	43
video_c34::23	31
video_c34::3	90
video_c34::4	84
video_c34::5	36
video_c34::6	46
video_c34::7	5
video_c34::8	31
video_c34::9	38
video_c35::0	54
video_c35::1	53
video_c35::10	78
video_c35::11	72
video_c35::12	47
video_c35::13	94
video_c35::14	16
video_c35::15	60
video_c35::16	71
video_c35::17	61
video_c35::18	62
video_c35::19	43
video_c35::2	38
video_c35::20	84
video_c35::3	6
video_c35::4	39
video_c35::5	50
video_c35::6	48
video_c35::7	91
video_c35::8	62
video_c35::9	54
video_c36::0	74
video_c36::1	44
video_c36::10	58
video_c36::11	34
video_c36::12	22
video_c36::13	50
video_c36::14	92
video_c36::15	97
video_c36::16	50
video_c36::17	45
video_c36::18	50
video_c36::19	67
video_c36::2	70
video_c36::3	66
video_c36::4	75
video_c36::5	30
video_c36::6	57
video_c36::7	116
video_c36::8	43
video_c36::9	54
video_c37::0	59
video_c37::1	57
video_c37::10	42
video_c37::11	59
video_c37::12	59
video_c37::13	46
video_c37::14	56
video_c37::15	22
video_c37::16	87
video_c37::17	50
video_c37::18	101
video_c37::19	59
video_c37::2	18
video_c37::20	82
video_c37::21	37
video_c37::22	45
video_c37::3	21
video_c37::4	25
video_c37::5	51
video_c37::6	52
video_c37::7	86
video_c37::8	54
video_c37::9	45
video_c40::0	38
video_c40::1	44
video_c40::10	41
video_c40::11	51
video_c40::12	40
video_c40::13	29
video_c40::14	40
video_c40::15	61
video_c40::16	61
video_c40::17	71
video_c40::18	50
video_c40::2	15
video_c40::3	108
video_c40::4	48
video_c40::5	44
video_c40::6	48
video_c40::7	80
video_c40::8	72
video_c40::9	45
video_c41::0	75
video_c41::1	38
video_c41::10	87
video_c41::11	109
video_c41::12	55
video_c41::13	43
video_c41::14	11
video_c41::15	16
video_c41::16	69
video_c41::17	56
video_c41::18	43
video_c41::19	56
video_c41::2	59
video_c41::20	104
video_c41::21	28
video_c41::3	69
video_c41::4	47
video_c41::5	57
video_c41::6	68
video_c41::7	76
video_c41::8	73
video_c41::9	53
video_c42::0	44
video_c42::1	21
video_c42::10	46
video_c42::11	86
video_c42::12	70
video_c42::13	38
video_c42::14	82
video_c42::15	41
video_c42::16	35
video_c42::17	35
video_c42::18	41
video_c42::19	20
video_c42::2	62
video_c42::20	74
video_c42::21	58
video_c42::22	42
video_c42::23	50
video_c42::24	58
video_c42::3	61
video_c42::4	48
video_c42::5	72
video_c42::6	62
video_c42::7	29
video_c42::8	43
video_c42::9	66
video_c43::0	55
video_c43::1	57
video_c43::10	19
video_c43::11	79
video_c43::12	24
video_c43::13	83
video_c43::14	32
video_c43::15	24
video_c43::16	9
video_c43::2	51
video_c43::3	56
video_c43::4	42
video_c43::5	43
video_c43::6	64
video_c43::7	59
video_c43::8	60
video_c43::9	43
video_c44::0	57
video_c44::1	9
video_c44::10	59
video_c44::11	57
video_c44::12	52
video_c44::13	51
video_c44::14	94
video_c44::15	69
video_c44::16	57
video_c44::17	71
video_c44::2	44
video_c44::3	64
video_c44::4	58
video_c44::5	55
video_c44::6	58
video_c44::7	55
video_c44::8	41
video_c44::9	54
video_c45::0	49
video_c45::1	27
video_c45::10	49
video_c45::11	14
video_c45::12	50
video_c45::13	9
video_c45::14	21
video_c45::15	47
video_c45::16	60
video_c45::17	13
video_c45::18	70
video_c45::19	56
video_c45::2	58
video_c45::20	46
video_c45::21	14
video_c45::3	33
video_c45::4	58
video_c45::5	48
video_c45::6	51
video_c45::7	68
video_c45::8	22
video_c45::9	31
video_c46::0	62
video_c46::1	68
video_c46::10	55
video_c46::11	68
video_c46::12	81
video_c46::13	34
video_c46::14	73
video_c46::15	7
video_c46::16	79
video_c46::17	68
video_c46::18	37
video_c46::19	47
video_c46::2	72
video_c46::20	49
video_c46::21	44
video_c46::22	66
video_c46::3	44
video_c46::4	39
video_c46::5	73
video_c46::6	39
video_c46::7	82
video_c46::8	51
video_c46::9	44
video_c47::0	31
video_c47::1	53
video_c47::10	61
video_c47::11	62
video_c47::12	47
video_c47::13	64
video_c47::14	14
video_c47::15	75
video_c47::16	54
video_c47::17	80
video_c47::18	67
video_c47::19	68
video_c47::2	61
video_c47::3	27
video_c47::4	101
video_c47::5	74
video_c47::6	89
video_c47::7	65
video_c47::8	50
video_c47::9	41
video_c48::0	75
video_c48::1	80
video_c48::10	51
video_c48::11	101
video_c48::12	17
video_c48::13	64
video_c48::14	59
video_c48::15	76
video_c48::16	54
video_c48::17	45
video_c48::2	100
video_c48::3	133
video_c48::4	50
video_c48::5	52
video_c48::6	45
video_c48::7	34
video_c48::8	10
video_c48::9	66
video_c49::0	68
video_c49::1	118
video_c49::10	104
video_c49::11	97
video_c49::12	42
video_c49::13	51
video_c49::14	78
video_c49::15	39
video_c49::16	111
video_c49::17	69
video_c49::18	36
video_c49::2	51
video_c49::3	8
video_c49::4	40
video_c49::5	68
video_c49::6	95
video_c49::7	41
video_c49::8	109
video_c49::9	72
video_c50::0	62
video_c50::1	26
video_c50::10	69
video_c50::11	32
video_c50::12	39
video_c50::13	27
video_c50::14	66
video_c50::15	57
video_c50::16	39
video_c50::17	74
video_c50::18	43
video_c50::19	67
video_c50::2	50
video_c50::20	47
video_c50::21	38
video_c50::22	47
video_c50::23	51
video_c50::24	4
video_c50::3	51
video_c50::4	51
video_c50::5	19
video_c50::6	91
video_c50::7	58
video_c50::8	36
video_c50::9	57
video_c51::0	65
video_c51::1	27
video_c51::10	69
video_c51::11	58
video_c51::12	107
video_c51::13	56
video_c51::14	30
video_c51::15	80
video_c51::16	34
video_c51::17	61
video_c51::18	59
video_c51::19	49
video_c51::2	56
video_c51::20	53
video_c51::21	33
video_c51::3	34
video_c51::4	103
video_c51::5	46
video_c51::6	45
video_c51::7	81
video_c51::8	62
video_c51::9	39
video_c52::0	55
video_c52::1	107
video_c52::10	36
video_c52::11	60
video_c52::12	55
video_c52::13	31
video_c52::14	68
video_c52::15	30
video_c52::16	59
video_c52::17	11
video_c52::2	51
video_c52::3	54
video_c52::4	47
video_c52::5	43
video_c52::6	112
video_c52::7	55
video_c52::8	56
video_c52::9	84
video_c53::0	39
video_c53::1	48
video_c53::10	17
video_c53::11	27
video_c53::12	48
video_c53::13	63
video_c53::14	101
video_c53::15	42
video_c53::16	42
video_c53::17	14
video_c53::2	47
video_c53::3	36
video_c53::4	56
video_c53::5	57
video_c53::6	48
video_c53::7	90
video_c53::8	57
video_c53::9	9
video_c54::0	67
video_c54::1	18
video_c54::10	44
video_c54::11	46
video_c54::12	57
video_c54::13	58
video_c54::14	55
video_c54::15	60
video_c54::16	45
video_c54::17	30
video_c54::18	52
video_c54::19	14
video_c54::2	71
video_c54::20	94
video_c54::21	39
video_c54::22	45
video_c54::3	59
video_c54::4	64
video_c54::5	70
video_c54::6	53
video_c54::7	31
video_c54::8	67
video_c54::9	65
video_c55::0	98
video_c55::1	53
video_c55::10	84
video_c55::11	81
video_c55::12	63
video_c55::13	55
video_c55::14	84
video_c55::15	49
video_c55::16	60
video_c55::17	44
video_c55::18	56
video_c55::19	52
video_c55::2	121
video_c55::20	66
video_c55::21	14
video_c55::3	52
video_c55::4	54
video_c55::5	46
video_c55::6	60
video_c55::7	51
video_c55::8	56
video_c55::9	65
video_c56::0	59
video_c56::1	114
video_c56::10	72
video_c56::11	51
video_c56::12	48
video_c56::13	48
video_c56::14	23
video_c56::15	81
video_c56::16	10
video_c56::17	47
video_c56::18	50
video_c56::19	73
video_c56::2	13
video_c56::20	61
video_c56::21	66
video_c56::3	50
video_c56::4	75
video_c56::5	66
video_c56::6	53
video_c56::7	67
video_c56::8	56
video_c56::9	46
video_c57::0	27
video_c57::1	103
video_c57::10	66
video_c57::11	64
video_c57::12	46
video_c57::13	113
video_c57::14	63
video_c57::15	55
video_c57::16	90
video_c57::17	89
video_c57::2	44
video_c57::3	108
