video_id	verdict	match_start_nonempty_rate	systemic_bias_max_z	systemic_bias_worst_combo	col_unknown_max_rate	avg_puyo_count	ojama_diag_decrease_no_chain_rate	match_start_excluded_windows	reasons
c80	PASS	0.003342	-1.891	col=4,color=1	0.000084	30.67	0.9197	0	-
c81	PASS	0.003221	-1.243	col=0,color=4	0.000182	30.83	0.8978	12	-
c82	PASS	0.002825	-1.806	col=4,color=3	0.000078	30.09	0.9455	0	-
c83	PASS	0.002174	-2.101	col=0,color=4	0.000092	29.42	0.9309	0	-
c84	PASS	0.002273	-1.477	col=1,color=5	0.000128	32.50	0.8643	7	-
c9	PASS	0.003279	1.895	col=2,color=3	0.000117	30.82	0.9190	0	-
c95	PASS	0.002888	-1.130	col=5,color=1	0.000076	32.16	0.9050	0	-
c96s1	FAIL	0.017122	3.033	col=0,color=4	0.000161	34.43	0.8982	0	match_start_nonempty_rate=1.7122% > 0.50%
c96s2	PASS	0.002179	-1.185	col=4,color=4	0.000069	31.95	0.9146	0	-
c96s3	FAIL	0.005916	2.605	col=4,color=5	0.000123	33.39	0.8818	0	match_start_nonempty_rate=0.5916% > 0.50%
c97	PASS	0.003546	3.262	col=4,color=1	0.000175	34.66	0.9222	0	-
c98	PASS	0.003186	3.293	col=3,color=2	0.000153	33.80	0.9332	0	-
c99	PASS	0.002599	1.396	col=4,color=4	0.000164	32.77	0.9220	0	-
