video_id	t_sec	detector	severity	evidence	game_idx
30	1.433	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	4.633	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	7.833	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	11.033	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	14.233	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	17.433	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	20.633	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	23.467	D0	CRITICAL	主因1位「最大列高差 +0.917」(1P有利) なのに 総合判定 adv=-52.4 (2P有利)	0
30	23.833	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	26.667	D0	CRITICAL	主因1位「最大列高差 +0.917」(1P有利) なのに 総合判定 adv=-52.4 (2P有利)	0
30	27.033	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	29.867	D0	CRITICAL	主因1位「最大列高差 +0.917」(1P有利) なのに 総合判定 adv=-52.4 (2P有利)	0
30	30.233	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	31.433	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	33.067	D0	CRITICAL	主因1位「最大列高差 +0.917」(1P有利) なのに 総合判定 adv=-52.4 (2P有利)	0
30	33.433	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	34.633	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	36.267	D0	CRITICAL	主因1位「最大列高差 +0.917」(1P有利) なのに 総合判定 adv=-52.4 (2P有利)	0
30	36.633	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	37.833	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	39.467	D0	CRITICAL	主因1位「最大列高差 +0.917」(1P有利) なのに 総合判定 adv=-52.4 (2P有利)	0
30	39.833	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	41.033	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	43.033	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	44.233	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	46.233	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	47.433	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	49.433	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	50.633	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	52.633	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	53.833	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	55.833	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	57.033	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	59.033	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
30	60.233	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	0.067	D0	CRITICAL	主因1位「最大列高差 +0.917」(1P有利) なのに 総合判定 adv=-51.1 (2P有利)	0
31	0.067	D0	CRITICAL	主因1位「最大列高差 +0.917」(1P有利) なのに 総合判定 adv=-51.1 (2P有利)	0
31	1.433	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	4.633	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	7.833	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	10.667	D0	CRITICAL	主因1位「最大列高差 +0.417」(1P有利) なのに 総合判定 adv=-0.3 (2P有利)	0
31	11.033	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	13.433	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	13.867	D0	CRITICAL	主因1位「最大列高差 +0.417」(1P有利) なのに 総合判定 adv=-0.3 (2P有利)	0
31	14.233	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	17.067	D0	CRITICAL	主因1位「最大列高差 +0.417」(1P有利) なのに 総合判定 adv=-0.3 (2P有利)	0
31	17.433	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	18.633	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	20.267	D0	CRITICAL	主因1位「最大列高差 +0.417」(1P有利) なのに 総合判定 adv=-0.3 (2P有利)	0
31	20.633	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	23.467	D0	CRITICAL	主因1位「最大列高差 +0.417」(1P有利) なのに 総合判定 adv=-0.3 (2P有利)	0
31	23.833	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	26.667	D0	CRITICAL	主因1位「最大列高差 +0.417」(1P有利) なのに 総合判定 adv=-0.3 (2P有利)	0
31	27.033	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	29.867	D0	CRITICAL	主因1位「最大列高差 +0.417」(1P有利) なのに 総合判定 adv=-0.3 (2P有利)	0
31	30.233	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	31.433	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	33.067	D0	CRITICAL	主因1位「最大列高差 +0.417」(1P有利) なのに 総合判定 adv=-0.3 (2P有利)	0
31	33.433	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	34.633	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	36.267	D0	CRITICAL	主因1位「最大列高差 +0.417」(1P有利) なのに 総合判定 adv=-0.3 (2P有利)	0
31	36.633	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	37.833	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	39.467	D0	CRITICAL	主因1位「最大列高差 +0.417」(1P有利) なのに 総合判定 adv=-0.3 (2P有利)	0
31	39.833	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	41.033	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	42.700	D0	CRITICAL	主因1位「最大列高差 +0.417」(1P有利) なのに 総合判定 adv=-0.3 (2P有利)	0
31	43.067	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	45.900	D0	CRITICAL	主因1位「最大列高差 +0.417」(1P有利) なのに 総合判定 adv=-0.3 (2P有利)	0
31	46.267	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	47.467	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	49.100	D0	CRITICAL	主因1位「最大列高差 +0.417」(1P有利) なのに 総合判定 adv=-0.3 (2P有利)	0
31	49.467	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	52.267	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	52.300	D0	CRITICAL	主因1位「最大列高差 +0.417」(1P有利) なのに 総合判定 adv=-0.3 (2P有利)	0
31	52.667	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	55.500	D0	CRITICAL	主因1位「最大列高差 +0.417」(1P有利) なのに 総合判定 adv=-0.3 (2P有利)	0
31	55.867	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	58.700	D0	CRITICAL	主因1位「最大列高差 +0.417」(1P有利) なのに 総合判定 adv=-0.3 (2P有利)	0
31	59.067	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	59.467	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
31	61.900	D0	CRITICAL	主因1位「最大列高差 +0.417」(1P有利) なのに 総合判定 adv=-0.3 (2P有利)	0
31	62.267	D0	CRITICAL	主因1位「おじゃまフラット度差 +0.659」(1P有利) なのに 総合判定 adv=-2.5 (2P有利)	0
